,element,userInputs,verification
52,lst17325frontend.jpgDamage from eye level,click,No errors
53,lst17325damage.jpgVIN,click,No errors
54,lst17325damage.jpgPlate,click,No errors
55,lst17325damage.jpgMileage,click,No errors
56,lst17325damage.jpgRegistration,click,No errors
57,lst17325damage.jpgMeasurement,click,No errors
58,lst17325damage.jpgInterior,click,No errors
59,lst17325damage.jpgLeft front,click,No errors
60,lst17325damage.jpgRight front,click,No errors
61,lst17325damage.jpgLeft rear,click,No errors
62,lst17325damage.jpgRight rear,click,No errors
63,lst17325damage.jpgFront,click,No errors
64,lst17325damage.jpgRear,click,No errors
65,lst17325damage.jpgCenter console,click,No errors
66,lst17325damage.jpgUpd,click,No errors
67,lst17325damage.jpgDriver door trip panel,click,No errors
68,lst17325damage.jpgFront seats,click,No errors
69,lst17325damage.jpgRear seats,click,No errors
70,lst17325damage.jpgCarpet,click,No errors
71,lst17325damage.jpgOptions,click,No errors
72,lst17325damage.jpgTransmission,click,No errors
73,lst17325damage.jpgHeadliner,click,No errors
74,lst17325damage.jpgEngine,click,No errors
75,lst17325damage.jpgBedliner,click,No errors
76,lst17325damage.jpgPoint of impact 1,click,No errors
77,lst17325damage.jpgPoint of impact 2,click,No errors
78,lst17325damage.jpgStructural impact,click,No errors
79,lst17325damage.jpgCooling,click,No errors
80,lst17325damage.jpgElectrical,click,No errors
81,lst17325damage.jpgDamage from left,click,No errors
82,lst17325damage.jpgDamage from right,click,No errors
83,lst17325damage.jpgDamage from above,click,No errors
84,lst17325damage.jpgDamage from eye level,click,No errors
85,lst17325rearend.jpgVIN,click,No errors
86,lst17325rearend.jpgPlate,click,No errors
87,lst17325rearend.jpgMileage,click,No errors
88,lst17325rearend.jpgRegistration,click,No errors
89,lst17325rearend.jpgMeasurement,click,No errors
90,lst17325rearend.jpgInterior,click,No errors
91,lst17325rearend.jpgLeft front,click,No errors
92,lst17325rearend.jpgRight front,click,No errors
93,lst17325rearend.jpgLeft rear,click,No errors
94,lst17325rearend.jpgRight rear,click,No errors
95,lst17325rearend.jpgFront,click,No errors
96,lst17325rearend.jpgRear,click,No errors
97,lst17325rearend.jpgCenter console,click,No errors
98,lst17325rearend.jpgUpd,click,No errors
99,lst17325rearend.jpgDriver door trip panel,click,No errors
100,lst17325rearend.jpgFront seats,click,No errors
101,lst17325rearend.jpgRear seats,click,No errors
102,lst17325rearend.jpgCarpet,click,No errors
103,lst17325rearend.jpgOptions,click,No errors
104,lst17325rearend.jpgTransmission,click,No errors
105,lst17325rearend.jpgHeadliner,click,No errors
106,lst17325rearend.jpgEngine,click,No errors
107,lst17325rearend.jpgBedliner,click,No errors
108,lst17325rearend.jpgPoint of impact 1,click,No errors
109,lst17325rearend.jpgPoint of impact 2,click,No errors
110,lst17325rearend.jpgStructural impact,click,No errors
111,lst17325rearend.jpgCooling,click,No errors
112,lst17325rearend.jpgElectrical,click,No errors
113,lst17325rearend.jpgDamage from left,click,No errors
114,lst17325rearend.jpgDamage from right,click,No errors
115,lst17325rearend.jpgDamage from above,click,No errors
116,lst17325rearend.jpgDamage from eye level,click,No errors
117,lst17325vinsticker.jpgVIN,click,No errors
118,lst17325vinsticker.jpgPlate,click,No errors
119,lst17325vinsticker.jpgMileage,click,No errors
120,lst17325vinsticker.jpgRegistration,click,No errors
121,lst17325vinsticker.jpgMeasurement,click,No errors
122,lst17325vinsticker.jpgInterior,click,No errors
123,lst17325vinsticker.jpgLeft front,click,No errors
124,lst17325vinsticker.jpgRight front,click,No errors
125,lst17325vinsticker.jpgLeft rear,click,No errors
126,lst17325vinsticker.jpgRight rear,click,No errors
127,lst17325vinsticker.jpgFront,click,No errors
128,lst17325vinsticker.jpgRear,click,No errors
129,lst17325vinsticker.jpgCenter console,click,No errors
130,lst17325vinsticker.jpgUpd,click,No errors
131,lst17325vinsticker.jpgDriver door trip panel,click,No errors
132,lst17325vinsticker.jpgFront seats,click,No errors
133,lst17325vinsticker.jpgRear seats,click,No errors
134,lst17325vinsticker.jpgCarpet,click,No errors
135,lst17325vinsticker.jpgOptions,click,No errors
136,lst17325vinsticker.jpgTransmission,click,No errors
137,lst17325vinsticker.jpgHeadliner,click,No errors
138,lst17325vinsticker.jpgEngine,click,No errors
139,lst17325vinsticker.jpgBedliner,click,No errors
140,lst17325vinsticker.jpgPoint of impact 1,click,No errors
141,lst17325vinsticker.jpgPoint of impact 2,click,No errors
142,lst17325vinsticker.jpgStructural impact,click,No errors
143,lst17325vinsticker.jpgCooling,click,No errors
144,lst17325vinsticker.jpgElectrical,click,No errors
145,lst17325vinsticker.jpgDamage from left,click,No errors
146,lst17325vinsticker.jpgDamage from right,click,No errors
147,lst17325vinsticker.jpgDamage from above,click,No errors
148,lst17325vinsticker.jpgDamage from eye level,click,No errors
